French,English
partie,part
histoire,history
seulement,only
police,police
pensais,thought
aide,help
laisser,let
eux,them
ville,city
parlé,speak
devrait,should
bébé,baby
heures,hours
compris,understood
savais,knew
attention,Warning
affaire,case
type,type
donné,given
train,train
yeux,eyes
tiens,here
point,point
venu,came
minutes,minutes
demandé,request
chambre,bedroom
aimerais,would like to
aujourd'hui,today
cause,cause
parti,left
dirait,would say
compte,account
loin,far
chérie,sweetheart
aura,will have